Anzahl	Klinik	Adresse	PLZ	Ort
1	Centre Hospitalier du Nord	Av. Lucien Salentiny 120	9080	Ettelbruck
2	Centre Hospitalier du Nord	Rue Grande-Duschess Charlotte	9515	Wiltz
3	Centre Hospitalier de Luxembourg	Rue d'Eich	1460	Eich
4	Centre Hospitalier de Luxembourg	Rue Ernest Barblé 4	1210	Luxemburg
5	Hôpitaux Robert Schuman	Rue Edward Steichen	2540	Luxemburg
6	Hôpitaux Robert Schuman	Rue d'Anvers	1130	Luxembourg
7	Hôpitaux Robert Schuman	Rue Wurth-Paquet	4350	Esch-sur-Alzette
8	Centre Hospitalier Emile Mayrisch	Rue Emile Mayrisch	4240	Esch-sur-Alzette
9	Centre Hospitalier Emile Mayrisch	Avenue de la Liberté	4602	Niederkorn
10	Centre Hospitalier Emile Mayrisch	Rue de l'Hôpital 98	3488	Dudelange
