,Spital/Institution,Kanton,Kanton LV,Adr,Ort,Basispaket,Dermatologie,Hals-Nasen-Ohren,Neurochirurgie,Neurologie,Ophthalmologie,Endokrinologie,Gastroenterologie,Viszeralchirurgie,Hämatologie,Gefässe,Herz,Nephrologie,Urologie,Pneumologie,Thoraxchirurgie,Transplantationen,Bewegungsapparat chirurgisch,Rheumatologie,Gynäkologie,Geburtshilfe,Neugeborene,(Radio-) Onkologie,Unfallchirurgie,Übrige (Querschnittsbereiche),BP,BPE,DER1,DER1.1,DER1.2,DER2,HNO1,HNO1.1,HNO1.1.1,HNO1.2,HNO1.2.1,HNO1.3,HNO1.3.1,HNO1.3.2,HNO2,KIE1,NCH1,NCH1.1,NCH1.1.1,NCH1.1.1.1,NCH1.1.2,NCH1.1.3,NCH2,NCH2.1,NCH3,NEU1,NEU2,NEU2.1,NEU3,NEU3.1,NEU4,NEU4.1,NEU4.2,AUG1,AUG1.1,AUG1.2,AUG1.3,AUG1.4,AUG1.5,END1,GAE1,GAE1.1,VIS1,VIS1.1,VIS1.2,VIS1.3,VIS1.4,VIS1.4.1,VIS1.5,HAE1,HAE1.1,HAE2,HAE3,HAE4,HAE5,GEF1,ANG1,GEF2,ANG2,GEFA,GEF3,ANG3,GEF4,ANG4,RAD1,RAD2,HER1,HER1.1,HER1.1.1,HER1.1.2,HER1.1.3,HER1.1.4,HER1.1.5,HER1.1.6,KAR1,KAR1.1,KAR1.1.1,KAR1.2,KAR1.3,KAR2,KAR3,KAR3.1,KAR3.1.1,NEP1,URO1,URO1.1,URO1.1.1,URO1.1.2,URO1.1.3,URO1.1.4,URO1.1.5,URO1.1.6,URO1.1.7,URO1.1.8,PNE1,PNE1.1,PNE1.2,PNE1.3,PNE2,THO1,THO1.1,THO1.2,TPL1,TPL2,TPL3,TPL4,TPL5,TPL6,TPL7,BEW1,BEW2,BEW3,BEW4,BEW5,BEW6,BEW7,BEW7.1,BEW7.1.1,BEW7.2,BEW7.2.1,BEW7.3,BEW8,BEW8.1,BEW8.1.1,BEW9,BEW10,BEW11,RHE1,RHE2,GYN1,GYN1.1,GYN1.2,GYN1.3,GYN1.4,GYNT,GYN2,PLC1,GEBH,GEBS,GEB1,GEB1.1,GEB1.1.1,NEOG,NEO1,NEO1.1,NEO1.1.1,NEO1.1.1.1,ONK1,RAO1,NUK1,UNF1,UNF1.1,UNF2,ISO,BES,KINM,KINC,KINB,KAA,KAB,KAC,KAD,GER,AVA,PAL,Erfüllte Leistungsangebote,Beschränkte/Befristete Leistungsangebote
1,Kantonsspital Aarau AG,AG,AG,Tellstrasse 25,5000 Aarau,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,,,,,,2.0,"['Dermatologie', 'Ophthalmologie', 'Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'Thoraxchirurgie', 'Rheumatologie', 'BP', 'DER1', 'DER1.1', 'DER1.2', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.1.1', 'HNO1.2', 'HNO1.2.1', 'HNO1.3', 'HNO1.3.1', 'HNO2', 'KIE1', 'NCH1', 'NCH1.1', 'NCH1.1.1', 'NCH2', 'NCH3', 'NEU1', 'NEU2', 'NEU2.1', 'NEU3', 'NEU3.1', 'NEU4', 'NEU4.1', 'AUG1', 'AUG1.1', 'AUG1.2', 'AUG1.3', 'AUG1.4', 'AUG1.5', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.1', 'VIS1.2', 'VIS1.4', 'HAE1', 'HAE1.1', 'HAE2', 'HAE3', 'HAE4', 'GEF1', 'ANG1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'KAR1', 'KAR1.1', 'KAR1.1.1', 'KAR1.2', 'KAR1.3', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.2', 'URO1.1.3', 'URO1.1.4', 'URO1.1.8', 'PNE1', 'PNE1.1', 'PNE1.2', 'PNE1.3', 'THO1', 'THO1.1', 'THO1.2', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'BEW8.1', 'BEW11', 'RHE1', 'RHE2', 'GYN1', 'GYNT', 'GYN2', 'GEB1', 'GEB1.1', 'GEB1.1.1', 'NEO1', 'NEO1.1', 'NEO1.1.1', 'NEO1.1.1.1', 'ONK1', 'RAO1', 'UNF1', 'UNF1.1', 'KINM', 'KINC', 'PAL']","['Basispaket', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', '(Radio-) Onkologie', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)']"
2,Kantonsspital Baden AG,AG,AG,Im Ergel 1,5404 Baden,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,2.0,,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,1.0,2.0,2.0,,,2.0,2.0,,,2.0,2.0,2.0,,,2.0,,,,,,,,,,2.0,2.0,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,,,,,2.0,2.0,,,,,,2.0,,2.0,"['Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'Rheumatologie', '(Radio-) Onkologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.1.1', 'HNO1.2', 'HNO1.3', 'HNO2', 'KIE1', 'NEU1', 'NEU2', 'NEU3', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.1', 'VIS1.4', 'HAE1', 'HAE2', 'HAE3', 'GEF1', 'ANG1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'KAR1', 'KAR1.1', 'KAR1.2', 'KAR1.3', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.3', 'URO1.1.4', 'URO1.1.8', 'PNE1', 'PNE1.1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'BEW8.1', 'RHE1', 'RHE2', 'GYN1', 'GYNT', 'GYN2', 'GEB1', 'GEB1.1', 'GEB1.1.1', 'NEO1', 'NEO1.1', 'ONK1', 'RAO1', 'NUK1', 'KINM', 'KINC', 'GER', 'PAL']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', 'Übrige (Querschnittsbereiche)', 'DER1.1', 'HAE1.1', 'URO1.1.2']"
3,Hirslanden Klinik Aarau,AG,AG,Schänisweg 1,5000 Aarau,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,,2.0,2.0,2.0,1.0,2.0,,2.0,,,2.0,1.0,2.0,,,,,,,,,2.0,,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,2.0,,,,2.0,2.0,,,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,2.0,2.0,2.0,,,,,1.0,2.0,,,,2.0,,,,2.0,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,2.0,"['Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'Rheumatologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'HNO2', 'NCH1', 'NEU1', 'NEU3', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'HAE2', 'GEF1', 'ANG1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'HER1', 'HER1.1', 'HER1.1.1', 'HER1.1.3', 'HER1.1.4', 'HER1.1.5', 'KAR1', 'KAR1.1', 'KAR1.1.1', 'KAR1.2', 'KAR1.3', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.3', 'URO1.1.4', 'URO1.1.8', 'PNE1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'RHE1', 'RHE2', 'GYN1', 'GYN2', 'GEB1', 'NEO1', 'ONK1', 'RAO1', 'KINB', 'PAL']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', '(Radio-) Onkologie', 'Übrige (Querschnittsbereiche)', 'DER1.1', 'HNO1.1.1', 'KIE1', 'BEW8.1', 'GYNT']"
4,Gesundheitszentrum Fricktal,AG,AG,Riburgerstrasse 12,4310 Rheinfelden,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,,2.0,1.0,,2.0,2.0,2.0,,2.0,,,,,2.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,2.0,,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,2.0,,,"['Endokrinologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO2', 'NEU1', 'END1', 'GAE1', 'VIS1', 'HAE2', 'URO1', 'URO1.1', 'URO1.1.1', 'PNE1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'RHE1', 'GYN1', 'GYN2', 'GEB1', 'NEO1', 'KINB', 'GER']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Hämatologie', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', 'Übrige (Querschnittsbereiche)', 'DER1.1', 'NEU3']"
5,"Gesundheitszentrum Fricktal, Laufenburg",AG,AG,Spitalstrasse 10,5080 Laufenburg,1.0,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['GAE1', 'HAE2', 'PNE1', 'RHE1']","['Basispaket', 'Neurologie', 'Gastroenterologie', 'Hämatologie', 'Pneumologie', 'Rheumatologie', 'BP', 'NEU3']"
6,Stiftung Spital Muri,AG,AG,Spitalstrasse 144,5630 Muri AG,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,,2.0,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,2.0,2.0,,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,2.0,,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,2.0,,2.0,"['Endokrinologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.2', 'NEU1', 'END1', 'GAE1', 'VIS1', 'VIS1.4', 'HAE2', 'URO1', 'URO1.1', 'PNE1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'RHE1', 'GYN1', 'GYN2', 'GEB1', 'NEO1', 'KINB', 'GER', 'PAL']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Hämatologie', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', 'Übrige (Querschnittsbereiche)', 'NEU3']"
7,Spital Zofingen AG,AG,AG,Mühlethalstrasse 27,4800 Zofingen,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,2.0,,2.0,,,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,"['Endokrinologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'NEU1', 'END1', 'GAE1', 'VIS1', 'HAE2', 'URO1', 'PNE1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'RHE1', 'GYN1', 'GER', 'PAL']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Hämatologie', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Übrige (Querschnittsbereiche)', 'NEU3']"
8,Asana Spital Leuggern AG,AG,AG,Kommendeweg 12,5316 Leuggern,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,,2.0,,,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,2.0,,,,,,1.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,"['BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'GAE1', 'VIS1', 'URO1', 'URO1.1', 'PNE1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'RHE1', 'GYN1', 'GEB1', 'NEO1', 'KINB']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', 'Übrige (Querschnittsbereiche)', 'NEU3', 'GYN2']"
9,Asana Spital Menziken AG,AG,AG,Spitalstrasse 1,5737 Menziken,1.0,1.0,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,"['BP', 'DER1', 'DER2', 'GAE1', 'VIS1', 'URO1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'RHE1', 'GYN1', 'KINB']","['Basispaket', 'Dermatologie', 'Neurologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Übrige (Querschnittsbereiche)', 'NEU3', 'PNE1']"
10,SMN - Klinik Villa im Park,AG,AG,Bernstrasse 84,4852 Rothrist,1.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,[],"['Basispaket', 'Urologie', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', 'BPE', 'URO1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'GYN1', 'GEB1', 'NEO1']"
